step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  diag=only
  δ=0.0903  G=0.7118
  batch 1/8  45s
  batch 2/8  89s
  batch 3/8  133s
  batch 4/8  178s
  batch 5/8  222s
  batch 6/8  267s
  batch 7/8  311s
  batch 8/8  355s

  seg |     acc  exact  exact% |     Δacc |   churn
  163 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  164 |  0.7072    468  22.85% |  -0.0022 |  0.0005
  165 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  166 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  167 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  168 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  169 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  170 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  171 |  0.7071    468  22.85% |  -0.0023 |  0.0006
  172 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  173 |  0.7072    468  22.85% |  -0.0022 |  0.0006
  174 |  0.7072    468  22.85% |  -0.0023 |  0.0006
  175 |  0.7071    468  22.85% |  -0.0023 |  0.0006
  176 |  0.7072    468  22.85% |  -0.0023 |  0.0006
  177 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  178 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  179 |  0.7071    468  22.85% |  -0.0023 |  0.0006
  180 |  0.7072    468  22.85% |  -0.0022 |  0.0007
  181 |  0.7072    468  22.85% |  -0.0023 |  0.0006
  182 |  0.7071    468  22.85% |  -0.0023 |  0.0007
  183 |  0.7071    468  22.85% |  -0.0023 |  0.0006
  184 |  0.7070    468  22.85% |  -0.0024 |  0.0005
  185 |  0.7071    468  22.85% |  -0.0023 |  0.0005
  186 |  0.7069    468  22.85% |  -0.0025 |  0.0006
  187 |  0.7070    468  22.85% |  -0.0024 |  0.0005
  188 |  0.7070    468  22.85% |  -0.0024 |  0.0005
  189 |  0.7071    468  22.85% |  -0.0023 |  0.0005
  190 |  0.7069    468  22.85% |  -0.0025 |  0.0005
  191 |  0.7069    468  22.85% |  -0.0025 |  0.0005
  192 |  0.7071    468  22.85% |  -0.0023 |  0.0005
  193 |  0.7070    468  22.85% |  -0.0024 |  0.0005
  194 |  0.7070    468  22.85% |  -0.0024 |  0.0005
  195 |  0.7070    468  22.85% |  -0.0024 |  0.0006
  196 |  0.7070    468  22.85% |  -0.0024 |  0.0005
  197 |  0.7070    468  22.85% |  -0.0025 |  0.0006
  198 |  0.7070    468  22.85% |  -0.0024 |  0.0005
  199 |  0.7069    468  22.85% |  -0.0025 |  0.0006
  200 |  0.7070    468  22.85% |  -0.0024 |  0.0004
  201 |  0.7070    468  22.85% |  -0.0024 |  0.0006
  202 |  0.7071    468  22.85% |  -0.0023 |  0.0005
  203 |  0.7071    468  22.85% |  -0.0024 |  0.0006
  204 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  205 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  206 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  207 |  0.7072    469  22.90% |  -0.0022 |  0.0006
  208 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  209 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  210 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  211 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  212 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  213 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  214 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  215 |  0.7070    469  22.90% |  -0.0024 |  0.0005
  216 |  0.7070    469  22.90% |  -0.0024 |  0.0004
  217 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  218 |  0.7071    469  22.90% |  -0.0024 |  0.0005
  219 |  0.7070    469  22.90% |  -0.0024 |  0.0005
  220 |  0.7070    469  22.90% |  -0.0024 |  0.0004
  221 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  222 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  223 |  0.7071    469  22.90% |  -0.0023 |  0.0006
  224 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  225 |  0.7070    469  22.90% |  -0.0024 |  0.0005
  226 |  0.7072    469  22.90% |  -0.0023 |  0.0004
  227 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  228 |  0.7071    469  22.90% |  -0.0024 |  0.0005
  229 |  0.7070    469  22.90% |  -0.0024 |  0.0005
  230 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  231 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  232 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  233 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  234 |  0.7071    469  22.90% |  -0.0024 |  0.0005
  235 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  236 |  0.7070    469  22.90% |  -0.0024 |  0.0005
  237 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  238 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  239 |  0.7070    469  22.90% |  -0.0024 |  0.0004
  240 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  241 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  242 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  243 |  0.7071    469  22.90% |  -0.0023 |  0.0006
  244 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  245 |  0.7070    469  22.90% |  -0.0024 |  0.0005
  246 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  247 |  0.7072    469  22.90% |  -0.0023 |  0.0004
  248 |  0.7070    469  22.90% |  -0.0024 |  0.0004
  249 |  0.7070    469  22.90% |  -0.0025 |  0.0004
  250 |  0.7070    469  22.90% |  -0.0024 |  0.0004
  251 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  252 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  253 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  254 |  0.7071    469  22.90% |  -0.0023 |  0.0004
  255 |  0.7071    469  22.90% |  -0.0023 |  0.0005
  256 |  0.7071    469  22.90% |  -0.0023 |  0.0003

학습 세그먼트(16): acc 0.7094  완답 455/2048 (22.22%)
최고 acc:  seg 4  0.7168  (+0.0074)
최고 완답: seg 204  469/2048  (+14)

저장: /root/LinearTuring/2026-09-01/results/json/seg_extrap_diag_only.json
