  누락(기본값 사용): ['inner.gain_raw']
step=228501  weights=ema  loops=257  npi=1
  λ=1.0
  δ=0.4906  G=1.0000
  batch 1/8  37s
  batch 2/8  74s
  batch 3/8  110s
  batch 4/8  147s
  batch 5/8  184s
  batch 6/8  220s
  batch 7/8  257s
  batch 8/8  293s

  seg |     acc  exact  exact% |     Δacc |   churn
  204 |  0.8311   1094  53.42% |  +0.0106 |  0.0393
  205 |  0.8318   1094  53.42% |  +0.0112 |  0.0396
  206 |  0.8320   1094  53.42% |  +0.0115 |  0.0401
  207 |  0.8321   1094  53.42% |  +0.0115 |  0.0411
  208 |  0.8323   1094  53.42% |  +0.0118 |  0.0405
  209 |  0.8323   1094  53.42% |  +0.0117 |  0.0395
  210 |  0.8308   1094  53.42% |  +0.0103 |  0.0398
  211 |  0.8315   1094  53.42% |  +0.0109 |  0.0404
  212 |  0.8315   1094  53.42% |  +0.0109 |  0.0401
  213 |  0.8314   1094  53.42% |  +0.0108 |  0.0409
  214 |  0.8320   1094  53.42% |  +0.0114 |  0.0411
  215 |  0.8312   1094  53.42% |  +0.0106 |  0.0401
  216 |  0.8310   1094  53.42% |  +0.0104 |  0.0393
  217 |  0.8315   1094  53.42% |  +0.0110 |  0.0396
  218 |  0.8311   1094  53.42% |  +0.0105 |  0.0404
  219 |  0.8313   1094  53.42% |  +0.0108 |  0.0406
  220 |  0.8314   1094  53.42% |  +0.0109 |  0.0404
  221 |  0.8319   1094  53.42% |  +0.0113 |  0.0402
  222 |  0.8321   1094  53.42% |  +0.0115 |  0.0397
  223 |  0.8320   1095  53.47% |  +0.0114 |  0.0396
  224 |  0.8319   1095  53.47% |  +0.0114 |  0.0404
  225 |  0.8319   1095  53.47% |  +0.0114 |  0.0403
  226 |  0.8318   1095  53.47% |  +0.0112 |  0.0400
  227 |  0.8315   1095  53.47% |  +0.0109 |  0.0403
  228 |  0.8320   1095  53.47% |  +0.0114 |  0.0395
  229 |  0.8316   1095  53.47% |  +0.0111 |  0.0397
  230 |  0.8323   1095  53.47% |  +0.0117 |  0.0383
  231 |  0.8316   1095  53.47% |  +0.0111 |  0.0384
  232 |  0.8325   1095  53.47% |  +0.0119 |  0.0404
  233 |  0.8322   1095  53.47% |  +0.0116 |  0.0400
  234 |  0.8319   1096  53.52% |  +0.0113 |  0.0405
  235 |  0.8322   1096  53.52% |  +0.0117 |  0.0400
  236 |  0.8313   1096  53.52% |  +0.0107 |  0.0394
  237 |  0.8324   1096  53.52% |  +0.0118 |  0.0408
  238 |  0.8324   1096  53.52% |  +0.0119 |  0.0393
  239 |  0.8324   1096  53.52% |  +0.0118 |  0.0391
  240 |  0.8316   1096  53.52% |  +0.0110 |  0.0391
  241 |  0.8322   1096  53.52% |  +0.0116 |  0.0404
  242 |  0.8318   1096  53.52% |  +0.0112 |  0.0393
  243 |  0.8327   1096  53.52% |  +0.0122 |  0.0395
  244 |  0.8322   1096  53.52% |  +0.0116 |  0.0393
  245 |  0.8323   1096  53.52% |  +0.0118 |  0.0397
  246 |  0.8313   1096  53.52% |  +0.0107 |  0.0401
  247 |  0.8319   1096  53.52% |  +0.0113 |  0.0398
  248 |  0.8317   1096  53.52% |  +0.0111 |  0.0397
  249 |  0.8316   1096  53.52% |  +0.0110 |  0.0400
  250 |  0.8316   1096  53.52% |  +0.0111 |  0.0406
  251 |  0.8318   1096  53.52% |  +0.0113 |  0.0406
  252 |  0.8316   1096  53.52% |  +0.0111 |  0.0389
  253 |  0.8324   1096  53.52% |  +0.0118 |  0.0395
  254 |  0.8318   1096  53.52% |  +0.0113 |  0.0393
  255 |  0.8328   1096  53.52% |  +0.0122 |  0.0401
  256 |  0.8317   1096  53.52% |  +0.0111 |  0.0398

학습 세그먼트(16): acc 0.8206  완답 969/2048 (47.31%)
최고 acc:  seg 255  0.8328  (+0.0122)
최고 완답: seg 234  1096/2048  (+127)

저장: /root/LinearTuring/2026-09-01/results/json/seg_extrap_stdp1.json
