step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  diag=zero
  δ=0.0903  G=0.7118
  batch 1/8  44s
  batch 2/8  88s
  batch 3/8  132s
  batch 4/8  176s
  batch 5/8  221s
  batch 6/8  265s
  batch 7/8  310s
  batch 8/8  354s

  seg |     acc  exact  exact% |     Δacc |   churn
  218 |  0.1206      0   0.00% |  -0.2537 |  0.5905
  219 |  0.1203      0   0.00% |  -0.2539 |  0.5937
  220 |  0.1208      0   0.00% |  -0.2534 |  0.5928
  221 |  0.1202      0   0.00% |  -0.2540 |  0.5909
  222 |  0.1202      0   0.00% |  -0.2541 |  0.5920
  223 |  0.1197      0   0.00% |  -0.2546 |  0.5908
  224 |  0.1197      0   0.00% |  -0.2545 |  0.5922
  225 |  0.1202      0   0.00% |  -0.2540 |  0.5944
  226 |  0.1212      0   0.00% |  -0.2530 |  0.5916
  227 |  0.1195      0   0.00% |  -0.2547 |  0.5915
  228 |  0.1203      0   0.00% |  -0.2539 |  0.5945
  229 |  0.1205      0   0.00% |  -0.2537 |  0.5963
  230 |  0.1200      0   0.00% |  -0.2542 |  0.5901
  231 |  0.1201      0   0.00% |  -0.2541 |  0.5912
  232 |  0.1193      0   0.00% |  -0.2549 |  0.5928
  233 |  0.1186      0   0.00% |  -0.2557 |  0.5898
  234 |  0.1211      0   0.00% |  -0.2531 |  0.5935
  235 |  0.1211      0   0.00% |  -0.2531 |  0.5936
  236 |  0.1198      0   0.00% |  -0.2544 |  0.5944
  237 |  0.1195      0   0.00% |  -0.2547 |  0.5916
  238 |  0.1199      0   0.00% |  -0.2543 |  0.5931
  239 |  0.1202      0   0.00% |  -0.2541 |  0.5957
  240 |  0.1197      0   0.00% |  -0.2545 |  0.5915
  241 |  0.1202      0   0.00% |  -0.2540 |  0.5943
  242 |  0.1195      0   0.00% |  -0.2547 |  0.5942
  243 |  0.1194      0   0.00% |  -0.2548 |  0.5932
  244 |  0.1190      0   0.00% |  -0.2552 |  0.5930
  245 |  0.1212      0   0.00% |  -0.2530 |  0.5916
  246 |  0.1208      0   0.00% |  -0.2534 |  0.5947
  247 |  0.1195      0   0.00% |  -0.2547 |  0.5934
  248 |  0.1189      0   0.00% |  -0.2554 |  0.5929
  249 |  0.1192      0   0.00% |  -0.2550 |  0.5936
  250 |  0.1198      0   0.00% |  -0.2544 |  0.5919
  251 |  0.1195      0   0.00% |  -0.2547 |  0.5917
  252 |  0.1190      0   0.00% |  -0.2552 |  0.5933
  253 |  0.1203      0   0.00% |  -0.2539 |  0.5950
  254 |  0.1206      0   0.00% |  -0.2537 |  0.5953
  255 |  0.1193      0   0.00% |  -0.2549 |  0.5926
  256 |  0.1203      0   0.00% |  -0.2539 |  0.5900

학습 세그먼트(16): acc 0.3742  완답 0/2048 (0.00%)
최고 acc:  seg 1  0.5948  (+0.2205)
최고 완답: seg 1  0/2048  (+0)

저장: /root/LinearTuring/2026-09-01/results/json/seg_extrap_diag_zero.json
