step=310527  weights=ema  loops=257  npi=1
  λ=[0.26121583580970764, 0.2119082808494568, 0.3452630937099457, 0.18517149984836578, 0.215340718626976, 0.3521755635738373, 0.4800223708152771, 0.3880845308303833]
  δ=0.0903  G=0.7118
  batch 1/8  43s
  batch 2/8  87s
  batch 3/8  131s
  batch 4/8  174s
  batch 5/8  218s
  batch 6/8  262s
  batch 7/8  306s
  batch 8/8  350s

  seg |     acc  exact  exact% |     Δacc |   churn
  130 |  0.8928   1572  76.76% |  +0.0628 |  0.0064
  131 |  0.8933   1572  76.76% |  +0.0632 |  0.0063
  132 |  0.8935   1572  76.76% |  +0.0635 |  0.0059
  133 |  0.8934   1573  76.81% |  +0.0634 |  0.0058
  134 |  0.8938   1573  76.81% |  +0.0638 |  0.0058
  135 |  0.8940   1574  76.86% |  +0.0640 |  0.0057
  136 |  0.8942   1574  76.86% |  +0.0642 |  0.0052
  137 |  0.8940   1576  76.95% |  +0.0639 |  0.0051
  138 |  0.8942   1576  76.95% |  +0.0641 |  0.0048
  139 |  0.8943   1576  76.95% |  +0.0642 |  0.0050
  140 |  0.8940   1576  76.95% |  +0.0639 |  0.0049
  141 |  0.8944   1576  76.95% |  +0.0644 |  0.0047
  142 |  0.8942   1576  76.95% |  +0.0642 |  0.0044
  143 |  0.8943   1577  77.00% |  +0.0642 |  0.0044
  144 |  0.8944   1577  77.00% |  +0.0644 |  0.0042
  145 |  0.8943   1579  77.10% |  +0.0643 |  0.0037
  146 |  0.8944   1579  77.10% |  +0.0643 |  0.0039
  147 |  0.8942   1579  77.10% |  +0.0641 |  0.0040
  148 |  0.8946   1579  77.10% |  +0.0645 |  0.0042
  149 |  0.8948   1579  77.10% |  +0.0648 |  0.0040
  150 |  0.8946   1579  77.10% |  +0.0645 |  0.0040
  151 |  0.8947   1580  77.15% |  +0.0646 |  0.0039
  152 |  0.8948   1580  77.15% |  +0.0647 |  0.0035
  153 |  0.8948   1580  77.15% |  +0.0647 |  0.0036
  154 |  0.8948   1580  77.15% |  +0.0647 |  0.0031
  155 |  0.8947   1580  77.15% |  +0.0647 |  0.0030
  156 |  0.8946   1580  77.15% |  +0.0645 |  0.0034
  157 |  0.8946   1580  77.15% |  +0.0645 |  0.0030
  158 |  0.8949   1582  77.25% |  +0.0648 |  0.0031
  159 |  0.8946   1582  77.25% |  +0.0645 |  0.0030
  160 |  0.8947   1582  77.25% |  +0.0646 |  0.0026
  161 |  0.8947   1582  77.25% |  +0.0646 |  0.0026
  162 |  0.8944   1582  77.25% |  +0.0644 |  0.0025
  163 |  0.8946   1583  77.29% |  +0.0645 |  0.0024
  164 |  0.8945   1583  77.29% |  +0.0644 |  0.0025
  165 |  0.8944   1583  77.29% |  +0.0643 |  0.0024
